iteration,food_quantity,event_poll_ms,ants_advance_ms,evaporation_ms,update_ms,advance_total_ms,render_ms,blit_ms,iteration_total_ms,mpi_halo_exchange_ms,mpi_migration_ms,mpi_food_allreduce_ms,mpi_render_comm_ms,mpi_total_comm_ms
90,0,0.019809,0.816668,0.043827,0.001222,0.861679,8.306964,15.632721,30.451138,0.172211,0.421577,0.014913,5.299726,5.895417
91,0,0.023783,0.918942,0.096500,0.001781,1.016764,7.152223,15.631852,30.718363,0.298061,0.556780,0.056866,6.565419,6.861435
92,0,0.046843,0.652363,0.098939,0.002869,0.747480,6.676397,15.783846,30.090107,0.184875,0.294253,0.069559,6.618643,7.101427
93,0,0.021650,0.916626,0.062518,0.001259,0.980403,7.957826,15.134174,30.458499,0.288212,0.618631,0.026515,6.040406,6.873897
94,0,0.022154,1.167807,0.082471,0.001377,1.251655,9.360693,15.495234,30.576483,0.295873,0.789888,0.044377,4.102476,5.215903
95,0,0.021259,0.524316,0.037520,0.001095,0.562849,10.108925,15.614909,30.503157,0.219941,0.224359,0.012357,3.898491,4.322747
96,0,0.023005,0.583387,0.045157,0.001166,0.627167,9.404064,15.846857,31.239569,0.219572,0.151551,0.006083,5.093237,5.462409
97,0,0.020889,0.461186,0.059337,0.001175,0.516778,9.656112,15.584451,30.346383,0.179439,0.130999,0.030814,4.363595,4.695947
98,0,0.025978,0.824282,0.091788,0.001444,0.890172,7.223841,16.450296,30.528221,0.185156,0.414577,0.043333,5.603885,6.240073
99,0,0.021329,0.914775,0.081157,0.001766,0.997698,8.393284,15.405391,29.967951,0.247051,0.588319,0.050855,4.852263,5.729669
100,0,0.022340,0.946198,0.062582,0.001373,1.010153,8.660752,15.433257,30.190476,0.242305,0.625544,0.032967,4.786795,5.651972
101,0,0.023792,1.047825,0.142769,0.004409,1.193246,8.090694,15.531167,30.905133,0.325121,0.634412,0.091610,5.638389,6.013884
102,0,0.023838,0.845749,0.083905,0.001944,0.931598,5.798379,16.545387,30.644293,0.277446,0.381579,0.039156,6.959303,7.281258
103,0,0.024813,0.838845,0.073150,0.001515,0.910518,6.273240,15.783764,29.549595,0.312269,0.473438,0.038168,5.892387,6.221057
104,0,0.019808,1.095311,0.078771,0.001875,1.164816,9.282685,15.895477,31.196166,0.322745,0.743074,0.045136,4.447539,5.517279
105,0,0.027835,1.087125,0.084358,0.001465,1.172797,8.257890,15.468474,29.951344,0.338579,0.595284,0.031584,4.655772,5.275030
106,0,0.021148,0.689290,0.087943,0.001252,0.776101,7.228117,15.557516,30.266917,0.682491,0.314871,0.041444,5.909332,6.890037
107,0,0.021995,0.548790,0.039711,0.001094,0.589510,8.861425,15.571123,30.824199,0.292968,0.156529,0.005655,5.469298,5.904160
108,0,0.021543,0.951863,0.077186,0.001229,1.016467,6.910256,16.464431,30.826774,0.373226,0.434861,0.031999,6.001272,6.506329
109,0,0.019661,0.776258,0.081748,0.001157,0.859163,8.568721,15.639460,29.686427,0.315817,0.393575,0.039211,4.263307,4.948203
110,0,0.023585,0.857295,0.066505,0.001515,0.924934,5.061417,16.480093,29.707482,0.243512,0.443394,0.042816,6.952295,7.299229
111,0,0.018750,0.770334,0.083248,0.001183,0.854765,6.203583,15.503654,29.784687,0.239121,0.466860,0.044875,6.938675,7.654542
112,0,0.022310,0.768438,0.057150,0.001280,0.826868,7.763287,15.484743,30.589073,0.233202,0.359372,0.022197,6.223792,6.474014
113,0,0.019892,0.585872,0.068920,0.001202,0.655994,7.817178,15.512516,30.149265,0.229099,0.186047,0.026612,5.885547,6.126938
114,0,0.020586,0.598649,0.071854,0.001289,0.671580,8.033507,0.482678,14.847799,0.224446,0.392971,0.031957,5.190657,5.622898
115,0,0.014184,0.689090,0.059235,0.001257,0.749582,8.811423,15.603265,30.786450,0.370532,0.417834,0.032636,5.213461,5.592113
116,0,0.022877,0.722296,0.109308,0.001194,0.832772,7.308887,16.565875,30.657032,0.237207,0.307168,0.064446,5.657323,5.897893
117,0,0.195070,0.967454,0.124476,0.002149,1.094079,5.851978,15.706551,29.534245,0.361997,0.675346,0.090763,6.357082,7.228537
118,0,0.021618,0.580568,0.053649,0.001274,0.635491,8.687551,15.880414,30.275360,0.178817,0.209784,0.013421,4.853209,5.239930
119,0,0.021451,1.152752,0.069664,0.001270,1.223601,7.320769,15.429033,30.274551,0.338085,0.994000,0.028182,5.849185,7.038949
120,0,0.021332,0.465667,0.047086,0.001193,0.507106,9.358705,15.599737,30.461046,0.170875,0.142625,0.022332,4.782826,5.097790
121,0,0.020396,0.874117,0.085184,0.001712,0.961013,8.590174,15.822333,30.313858,0.665429,0.645251,0.036267,4.409291,4.961612
122,0,0.020713,0.499645,0.046211,0.001238,0.547094,8.855115,15.537412,29.488913,0.166607,0.181455,0.019873,4.343494,4.691182
123,0,0.023896,0.690979,0.062135,0.001326,0.746594,9.879456,15.674139,30.571554,0.169499,0.283785,0.028404,4.042821,4.398773
124,0,0.019665,0.568731,0.043643,0.001190,0.612025,7.094692,15.961490,29.819683,0.211974,0.221500,0.014141,5.839654,6.270534
125,0,0.024823,0.974024,0.087407,0.002324,1.057401,7.013069,16.763405,30.779924,0.313982,0.564200,0.053215,5.573119,5.945512
126,0,0.027877,0.972819,0.104095,0.013650,1.090564,5.785549,15.400463,29.159084,0.326424,0.702383,0.066075,6.458936,6.817186
127,0,0.019853,1.065048,0.071175,0.001704,1.137869,8.536272,15.767108,30.485153,0.265632,0.828650,0.040594,4.722603,5.742524
128,0,0.020552,1.088802,0.094923,0.004653,1.185990,5.456974,15.555963,30.188588,0.278619,0.791540,0.057394,7.591529,8.587380
129,0,0.018848,1.109501,0.087638,0.002291,1.199430,7.499068,15.765463,29.905665,0.261305,0.718266,0.042842,5.104205,6.119869
130,0,0.030089,1.009924,0.098888,0.002443,1.101574,6.465917,16.591689,30.992775,0.419983,0.551909,0.048964,6.331751,6.793595
131,0,0.021975,1.091238,0.085094,0.001799,1.178131,7.815392,15.938945,29.971664,0.304860,0.710702,0.044637,4.663318,5.716089
